 Nome ,Idade,CIDADE,Data Admissão,salario (R$),Estado-civil,Cargo ,Telefone
Gabi Silva,37.0,rio de janeiro,21/04/2025,6479.97,solteiro,engenheiro de dados,nan
Will Souza,32.0,fortaleza,26/12/2024,2783.82,divorciado,gestor,nan
Xavier Pereira,33.0,Sao Paulo,24/06/2015,4039.92,viuvo,desenvolvedor,nan
Leo Almeida,32.0,salvador,04/06/2019,2257.13,viuvo,analista,nan
Yasmin Silva,32.0,rio de janeiro,17/04/2021,3360.16,viuvo,,nan
Diego Oliveira,38.0,rio de janeiro,12/06/2023,6069.25,divorciado,gestor,nan
Iris Rodrigues,33.0,Curitiba,05/04/2018,3808.97,casado,cientista de dados,nan
Xavier Silva,41.0,salvador,01/08/2018,3163.53,viuvo,estagiario,nan
Iris Oliveira,28.0,recife,12/11/2020,2798.71,divorciado,desenvolvedor,nan
Gabi Souza,39.0,recife,04/04/2016,3525.58,solteiro,desenvolvedor,nan
Carla Silva,40.0,salvador,14/09/2024,,casado,desenvolvedor,nan
Otavio Santos,33.0,sao paulo,05/01/2019,2464.13,viuvo,analista,nan
Ulisses Oliveira,34.0,Recife,27/03/2015,3193.02,solteiro,analista,nan
Joao Lima,32.0,recife,31/03/2019,7779.48,casado,engenheiro de dados,nan
Tania Santos,28.0,Rio De Janeiro,22/05/2017,1607.5,viuvo,analista,nan
Nina Santos,46.0,Belo Horizonte,01/03/2021,2663.35,divorciado,engenheiro de dados,nan
Rita Souza,19.0,salvador,02/10/2024,1416.78,solteiro,estagiario,nan
Joao Lima,44.0,fortaleza,15/01/2018,2092.22,viuvo,gestor,nan
Leo Carvalho,29.0,manaus,20/07/2027,2070.94,casado,engenheiro de dados,nan
Zeca Souza,32.0,,14/06/2020,3468.22,divorciado,cientista de dados,nan
Joao Carvalho,32.0,Rio De Janeiro,31/01/2023,5617.43,divorciado,desenvolvedor,nan
  KATIA SILVA  ,14.0,fortaleza,20/02/2019,4425.84,divorciado,estagiario,(11) 91929-7492
Carla Carvalho,16.0,curitiba,14/03/2022,3947.84,divorciado,estagiario,nan
Ana Pereira,30.0,manaus,14/03/2020,1494.53,,gestor,nan
Will Souza,43.0,belo  horizonte,08/01/2024,3827.94,viuvo,estagiario,nan
Carla Carvalho,29.0,curitiba,22/10/2021,4716.9,,estagiario,nan
Eva Pereira,42.0,manaus,14/09/2018,2449.41,divorciado,desenvolvedor,nan
Will Lima,36.0,salvador,29/01/2015,5609.46,viuvo,analista,nan
Zeca Oliveira,47.0,recife,30/10/2020,1716.21,casado,analista,nan
Bruno Souza,41.0,,07/06/2019,1703.14,solteiro,estagiario,nan
  HEITOR FERREIRA  ,42.0,sao paulo,29/02/2020,2565.58,solteiro,analista,nan
Heitor Pereira,20.0,salvador,17/12/2017,4631.41,viuvo,cientista de dados,nan
Paula Rodrigues,47.0,belo  horizonte,27/07/2015,5567.22,divorciado,desenvolvedor,nan
Leo Almeida,23.0,manaus,10/05/2024,,divorciado,cientista de dados,nan
Iris Ferreira,37.0,sao paulo,27/05/2020,2552.4,,engenheiro de dados,nan
  RITA LIMA  ,,salvador,08/10/2024,,casado,engenheiro de dados,nan
Iris Carvalho,16.0,Curitiba,01/11/2015,1776.02,viuvo,estagiario,nan
Zeca Santos,44.0,curitiba,15/06/2021,2799.05,,,nan
Leo Souza,39.0,manaus,01/02/2021,5765.88,viuvo,cientista de dados,nan
Rita Almeida,47.0,Recife,11/11/2015,2352.24,viuvo,engenheiro de dados,nan
Leo Ferreira,40.0,belo  horizonte,30/09/2015,,casado,estagiario,nan
Vera Santos,39.0,manaus,20/03/2021,9213.09,casado,gestor,nan
Yasmin Carvalho,32.0,rio de janeiro,12/08/2020,1074.49,solteiro,analista,nan
Zeca Pereira,50.0,Manaus,24/10/2017,3985.85,solteiro,estagiario,nan
Will Carvalho,24.0,sao paulo,27/12/2016,2119.6,solteiro,analista,nan
Saulo Lima,38.0,curitiba,28/10/2016,1516.42,viuvo,desenvolvedor,nan
Carla Oliveira,48.0,curitiba,22/11/2023,1704.09,casado,analista,nan
Carla Lima,35.0,rio de janeiro,23/08/2018,8025.16,viuvo,analista,nan
Marta Santos,47.0,Salvador,25/07/2022,1287.36,solteiro,estagiario,nan
Marta Lima,17.0,curitiba,11/08/2023,2063.7,viuvo,analista,nan
Xavier Lima,30.0,sao paulo,22/12/2019,3748.78,viuvo,estagiario,nan
  ZECA PEREIRA  ,42.0,sao paulo,08/01/2016,4019.5,viuvo,estagiario,nan
Marta Rodrigues,48.0,sao paulo,21/07/2024,2233.05,casado,desenvolvedor,nan
Saulo Souza,37.0,salvador,30/01/2015,5367.04,solteiro,engenheiro de dados,nan
Rita Ferreira,25.0,Belo Horizonte,26/10/2015,3918.46,solteiro,analista,(11) 95746-5568
Will Carvalho,,fortaleza,15/09/2020,2055.21,divorciado,cientista de dados,nan
Otavio Ferreira,18.0,sao paulo,12/01/2017,3530.71,,gestor,nan
Marta Ferreira,33.0,Sao Paulo,26/05/2023,3392.21,casado,,nan
Diego Souza,36.0,curitiba,03/05/2021,1618.68,solteiro,estagiario,nan
Gabi Santos,30.0,fortaleza,12/04/2023,2153.49,solteiro,engenheiro de dados,nan
Eva Santos,34.0,fortaleza,17/04/2019,7208.24,viuvo,estagiario,nan
  YASMIN SILVA  ,43.0,Manaus,03/02/2018,7368.45,casado,gestor,nan
Tania Silva,30.0,manaus,04/03/2025,1436.85,casado,desenvolvedor,nan
Bruno Souza,44.0,salvador,29/10/2023,2611.24,divorciado,cientista de dados,nan
Nina Souza,41.0,belo  horizonte,27/02/2023,4726.51,divorciado,engenheiro de dados,nan
  SAULO FERREIRA  ,37.0,sao paulo,18/02/2015,1846.05,viuvo,cientista de dados,nan
Katia Almeida,38.0,Salvador,24/11/2018,3239.64,divorciado,cientista de dados,nan
Otavio Pereira,41.0,belo  horizonte,04/08/2016,2686.28,solteiro,analista,nan
Rita Pereira,41.0,sao paulo,27/03/2027,6074.09,viuvo,cientista de dados,nan
Iris Silva,37.0,sao paulo,20/01/2015,5569.92,casado,cientista de dados,nan
Heitor Almeida,22.0,belo  horizonte,09/06/2017,2271.66,solteiro,gestor,nan
Paula Rodrigues,30.0,salvador,29/09/2022,3911.46,divorciado,gestor,nan
Heitor Almeida,45.0,manaus,08/07/2017,1690.19,solteiro,desenvolvedor,nan
Rita Oliveira,,Salvador,04/08/2016,2871.93,divorciado,gestor,nan
Joao Almeida,47.0,Manaus,29/12/2024,2825.39,viuvo,analista,nan
Carla Rodrigues,22.0,salvador,26/02/2018,2962.08,solteiro,analista,nan
Fabio Souza,24.0,Rio De Janeiro,02/08/2027,1243.57,viuvo,desenvolvedor,nan
Ana Santos,38.0,salvador,28/08/2015,2598.11,divorciado,gestor,nan
Otavio Oliveira,35.0,rio de janeiro,18/02/2024,2381.13,casado,estagiario,nan
Eva Ferreira,30.0,recife,07/11/2023,3472.5,viuvo,desenvolvedor,nan
Ulisses Oliveira,29.0,Fortaleza,13/05/2019,2777.54,viuvo,desenvolvedor,nan
Ana Souza,38.0,manaus,06/06/2016,8811.28,solteiro,cientista de dados,nan
Tania Rodrigues,38.0,recife,15/08/2023,1954.58,casado,desenvolvedor,nan
Xavier Ferreira,34.0,rio de janeiro,01/04/2020,2123.17,viuvo,desenvolvedor,nan
Otavio Oliveira,34.0,salvador,29/11/2015,3092.63,casado,engenheiro de dados,nan
Katia Oliveira,39.0,belo  horizonte,21/07/2019,5176.55,solteiro,estagiario,nan
Bruno Ferreira,32.0,,21/01/2016,788.26,casado,analista,nan
Otavio Ferreira,20.0,rio de janeiro,07/08/2017,3010.67,viuvo,estagiario,nan
  JOAO CARVALHO  ,24.0,salvador,22/12/2020,5815.82,viuvo,desenvolvedor,nan
Rita Ferreira,34.0,sao paulo,03/03/2017,2424.72,divorciado,cientista de dados,(11) 92314-6065
Yasmin Souza,40.0,recife,18/04/2020,1589.08,divorciado,analista,nan
Saulo Silva,37.0,Rio De Janeiro,11/03/2016,4850.33,solteiro,engenheiro de dados,nan
Vera Ferreira,52.0,rio de janeiro,02/01/2024,5559.57,viuvo,gestor,nan
Paula Santos,41.0,fortaleza,20/09/2024,4456.79,casado,analista,nan
  PAULA RODRIGUES  ,40.0,fortaleza,07/05/2017,2104.54,divorciado,analista,nan
Gabi Pereira,37.0,curitiba,05/04/2020,2340.31,viuvo,gestor,nan
Iris Santos,46.0,belo  horizonte,18/06/2022,4580.59,solteiro,,nan
Otavio Ferreira,49.0,rio de janeiro,10/08/2018,2236.62,viuvo,cientista de dados,nan
Gabi Carvalho,41.0,rio de janeiro,08/04/2021,6039.21,solteiro,gestor,nan
Iris Ferreira,37.0,sao paulo,23/01/2015,3961.49,divorciado,cientista de dados,nan
Marta Oliveira,33.0,belo  horizonte,23/01/2024,4930.14,viuvo,engenheiro de dados,nan
Zeca Silva,29.0,rio de janeiro,04/09/2018,2443.32,solteiro,estagiario,nan
Rita Pereira,29.0,Curitiba,06/03/2017,3240.25,viuvo,analista,nan
Joao Almeida,35.0,recife,10/05/2022,5658.86,,,nan
Iris Lima,,salvador,21/07/2017,4771.96,solteiro,estagiario,nan
Joao Santos,37.0,manaus,17/06/2015,4637.59,divorciado,estagiario,nan
Gabi Santos,41.0,fortaleza,04/11/2015,5148.41,viuvo,analista,nan
Xavier Ferreira,36.0,curitiba,03/03/2017,3240.45,viuvo,desenvolvedor,nan
Tania Oliveira,32.0,fortaleza,19/12/2021,3701.31,divorciado,gestor,nan
  GABI FERREIRA  ,20.0,fortaleza,30/09/2017,2428.35,viuvo,engenheiro de dados,nan
Xavier Pereira,31.0,rio de janeiro,11/06/2024,1231.33,divorciado,desenvolvedor,nan
Fabio Souza,37.0,sao paulo,14/11/2017,7109.16,solteiro,analista,nan
Gabi Almeida,31.0,salvador,06/07/2023,2150.38,casado,cientista de dados,nan
Will Ferreira,34.0,fortaleza,23/08/2020,5207.73,casado,analista,nan
Vera Carvalho,,Curitiba,04/02/2021,4153.27,solteiro,engenheiro de dados,nan
Nina Carvalho,40.0,manaus,18/04/2016,4391.69,divorciado,engenheiro de dados,nan
Ana Lima,,rio de janeiro,08/02/2016,2975.14,solteiro,desenvolvedor,(11) 96530-6525
Fabio Souza,18.0,salvador,11/06/2025,4450.5,casado,cientista de dados,nan
Fabio Silva,42.0,,21/05/2020,1725.66,viuvo,analista,nan
Otavio Silva,35.0,sao paulo,23/07/2022,2146.49,viuvo,estagiario,nan
Joao Silva,28.0,recife,30/08/2023,2557.89,casado,engenheiro de dados,nan
  MARTA PEREIRA  ,33.0,fortaleza,30/07/2017,4044.45,casado,engenheiro de dados,nan
Diego Santos,25.0,curitiba,19/11/2015,1711.24,divorciado,desenvolvedor,(11) 91378-3392
Fabio Oliveira,31.0,curitiba,26/05/2024,4524.54,casado,engenheiro de dados,nan
Gabi Carvalho,28.0,fortaleza,09/07/2022,3061.87,solteiro,desenvolvedor,nan
Gabi Carvalho,25.0,belo  horizonte,01/08/2018,2661.28,solteiro,gestor,(11) 91504-3524
Xavier Almeida,49.0,manaus,23/11/2024,1005.82,solteiro,desenvolvedor,nan
Ana Almeida,35.0,salvador,04/01/2019,2262.45,casado,analista,nan
Ana Pereira,35.0,manaus,19/07/2025,1835.37,viuvo,estagiario,nan
Paula Santos,27.0,curitiba,03/01/2015,3405.68,casado,desenvolvedor,nan
Vera Souza,41.0,salvador,24/07/2015,6056.34,viuvo,cientista de dados,nan
Otavio Oliveira,30.0,belo  horizonte,05/07/2020,1505.23,divorciado,analista,nan
Rita Oliveira,29.0,salvador,08/05/2018,3945.98,solteiro,estagiario,nan
Ulisses Pereira,41.0,fortaleza,27/04/2021,5452.89,solteiro,cientista de dados,nan
Iris Santos,33.0,belo  horizonte,15/12/2015,3462.9,solteiro,analista,nan
Otavio Pereira,30.0,sao paulo,20/12/2022,2929.12,solteiro,desenvolvedor,nan
Vera Lima,18.0,sao paulo,04/11/2017,2019.14,divorciado,analista,nan
Yasmin Santos,33.0,salvador,04/06/2019,3772.86,solteiro,estagiario,nan
Heitor Ferreira,34.0,Recife,05/10/2020,1727.84,,gestor,nan
Paula Carvalho,32.0,belo  horizonte,03/09/2021,,viuvo,desenvolvedor,nan
Xavier Carvalho,40.0,Fortaleza,29/11/2024,2226.88,solteiro,cientista de dados,nan
Fabio Pereira,35.0,recife,04/11/2015,3890.96,casado,gestor,nan
  HEITOR FERREIRA  ,40.0,rio de janeiro,15/03/2019,3212.9,solteiro,cientista de dados,nan
Vera Santos,24.0,rio de janeiro,05/12/2021,2962.94,casado,gestor,nan
Rita Carvalho,37.0,fortaleza,21/12/2016,3269.05,casado,desenvolvedor,nan
  XAVIER RODRIGUES  ,41.0,manaus,02/05/2020,1705.19,solteiro,cientista de dados,nan
Will Souza,0.0,Rio De Janeiro,12/01/2016,1910.49,divorciado,engenheiro de dados,nan
Carla Oliveira,52.0,rio de janeiro,29/07/2019,2484.07,casado,desenvolvedor,nan
Yasmin Santos,33.0,manaus,07/10/2017,3769.98,solteiro,gestor,nan
Bruno Souza,45.0,rio de janeiro,17/03/2018,2014.61,divorciado,desenvolvedor,nan
Vera Santos,45.0,curitiba,14/06/2020,2394.06,viuvo,cientista de dados,nan
Nina Souza,45.0,sao paulo,05/02/2019,7868.22,solteiro,desenvolvedor,nan
Marta Lima,55.0,fortaleza,16/04/2017,7478.3,divorciado,desenvolvedor,nan
Zeca Lima,26.0,fortaleza,12/01/2017,5410.43,,desenvolvedor,(11) 97848-1925
Gabi Santos,48.0,sao paulo,12/06/2023,2641.63,solteiro,cientista de dados,nan
Otavio Rodrigues,,belo  horizonte,23/11/2019,2417.31,viuvo,gestor,nan
Paula Lima,18.0,rio de janeiro,12/06/2016,3649.71,casado,engenheiro de dados,nan
Iris Souza,45.0,Curitiba,22/01/2017,3828.19,solteiro,estagiario,nan
  KATIA SILVA  ,28.0,Recife,03/07/2015,866.85,solteiro,engenheiro de dados,nan
Carla Carvalho,32.0,fortaleza,10/01/2017,2016.9,solteiro,estagiario,nan
Diego Pereira,34.0,manaus,22/07/2018,3742.64,solteiro,gestor,nan
  TANIA SANTOS  ,33.0,rio de janeiro,29/12/2023,1192.5,casado,estagiario,nan
Carla Pereira,28.0,manaus,10/11/2024,1911.25,solteiro,analista,nan
Marta Ferreira,48.0,manaus,24/12/2016,7819.36,divorciado,analista,nan
Nina Oliveira,40.0,manaus,30/07/2017,5020.73,viuvo,estagiario,nan
Otavio Ferreira,52.0,recife,05/12/2018,2977.73,,gestor,nan
Gabi Santos,47.0,Sao Paulo,19/09/2021,1209.35,viuvo,estagiario,nan
Gabi Rodrigues,40.0,salvador,30/01/2018,2549.41,solteiro,cientista de dados,nan
Vera Almeida,45.0,curitiba,20/09/2023,3695.15,viuvo,estagiario,nan
Eva Pereira,53.0,,04/09/2022,1376.87,casado,engenheiro de dados,nan
Bruno Silva,,rio de janeiro,02/09/2016,2106.32,casado,analista,nan
Eva Rodrigues,31.0,manaus,04/04/2016,1587.39,divorciado,estagiario,nan
Bruno Silva,27.0,belo  horizonte,20/09/2020,3608.31,casado,engenheiro de dados,nan
Carla Oliveira,34.0,belo  horizonte,09/01/2024,4146.54,casado,desenvolvedor,nan
Carla Lima,37.0,Salvador,17/04/2015,2807.72,divorciado,desenvolvedor,nan
Will Souza,35.0,salvador,02/12/2018,3420.78,solteiro,analista,nan
Xavier Carvalho,33.0,sao paulo,03/07/2016,3291.49,casado,cientista de dados,nan
Saulo Almeida,37.0,manaus,13/02/2018,3435.82,divorciado,desenvolvedor,nan
Otavio Silva,49.0,curitiba,15/06/2021,5166.97,solteiro,engenheiro de dados,nan
Vera Ferreira,38.0,sao paulo,16/07/2018,3598.02,solteiro,estagiario,nan
Tania Silva,48.0,manaus,14/09/2015,3746.47,divorciado,cientista de dados,nan
Marta Carvalho,48.0,curitiba,28/07/2020,4229.6,solteiro,desenvolvedor,nan
Zeca Almeida,34.0,recife,01/03/2025,2846.74,solteiro,desenvolvedor,nan
Fabio Souza,38.0,,17/11/2019,1946.47,solteiro,engenheiro de dados,nan
Heitor Oliveira,27.0,fortaleza,06/05/2019,5443.85,solteiro,gestor,nan
Paula Oliveira,42.0,rio de janeiro,30/04/2023,2563.22,casado,desenvolvedor,nan
Yasmin Pereira,37.0,salvador,09/02/2022,1901.77,viuvo,engenheiro de dados,nan
Vera Silva,25.0,belo  horizonte,09/03/2017,4300.19,viuvo,analista,nan
Paula Almeida,36.0,belo  horizonte,26/08/2016,3140.4,solteiro,analista,nan
Saulo Lima,27.0,belo  horizonte,06/06/2016,6768.94,solteiro,estagiario,nan
Yasmin Oliveira,33.0,recife,10/08/2016,4288.87,solteiro,engenheiro de dados,nan
Katia Carvalho,50.0,fortaleza,29/01/2019,5958.38,divorciado,analista,nan
Marta Oliveira,45.0,sao paulo,01/10/2024,1380.53,casado,gestor,nan
Tania Carvalho,18.0,recife,19/07/2023,3875.73,casado,estagiario,(11) 91065-9271
Diego Oliveira,30.0,manaus,12/04/2025,4735.33,viuvo,engenheiro de dados,nan
Bruno Santos,25.0,,10/02/2021,3331.09,casado,gestor,nan
Saulo Ferreira,51.0,sao paulo,08/01/2025,2621.32,solteiro,cientista de dados,nan
Eva Oliveira,26.0,sao paulo,03/03/2022,1796.53,casado,desenvolvedor,(11) 91158-3197
Ana Souza,49.0,sao paulo,06/03/2022,2361.66,casado,estagiario,nan
Eva Ferreira,40.0,Rio De Janeiro,18/12/2017,3921.76,casado,desenvolvedor,nan
Yasmin Oliveira,22.0,fortaleza,03/08/2018,4281.85,viuvo,analista,nan
Vera Souza,31.0,salvador,06/09/2019,9065.77,divorciado,cientista de dados,nan
Marta Almeida,28.0,salvador,18/12/2022,3337.17,viuvo,engenheiro de dados,nan
Tania Ferreira,30.0,manaus,21/01/2021,4042.98,casado,gestor,nan
Paula Pereira,29.0,fortaleza,01/02/2020,2599.32,casado,analista,nan
Saulo Oliveira,39.0,salvador,06/01/2016,4864.92,viuvo,gestor,nan
Nina Almeida,27.0,fortaleza,28/11/2018,1983.74,solteiro,cientista de dados,nan
Paula Ferreira,35.0,recife,10/07/2024,1782.09,viuvo,cientista de dados,nan
Xavier Rodrigues,32.0,salvador,14/07/2020,1531.34,viuvo,cientista de dados,nan
Joao Souza,50.0,curitiba,25/05/2017,,viuvo,,nan
Joao Santos,28.0,recife,04/06/2019,,solteiro,estagiario,nan
Paula Ferreira,23.0,rio de janeiro,24/07/2018,3072.0,casado,cientista de dados,nan
Tania Pereira,30.0,curitiba,01/02/2025,1945.27,divorciado,analista,nan
Vera Oliveira,33.0,curitiba,14/11/2023,1897.81,casado,estagiario,nan
Vera Pereira,29.0,recife,27/04/2018,2812.95,viuvo,gestor,nan
Will Pereira,45.0,sao paulo,31/12/2017,3619.94,viuvo,desenvolvedor,nan
Saulo Rodrigues,40.0,Belo Horizonte,12/03/2021,2076.74,,gestor,nan
Bruno Pereira,38.0,rio de janeiro,22/05/2016,4387.48,viuvo,cientista de dados,nan
Paula Rodrigues,44.0,salvador,20/09/2019,2501.7,divorciado,cientista de dados,(11) 93606-8194
Will Silva,41.0,salvador,18/12/2016,7317.93,divorciado,analista,nan
Xavier Ferreira,39.0,Fortaleza,17/11/2020,5154.17,solteiro,analista,nan
Yasmin Pereira,22.0,recife,25/12/2021,6749.59,casado,desenvolvedor,nan
Zeca Lima,,recife,15/12/2016,1285.0,viuvo,engenheiro de dados,nan
Vera Silva,26.0,manaus,01/03/2025,5691.9,casado,desenvolvedor,nan
Joao Santos,22.0,fortaleza,07/05/2022,2718.18,casado,cientista de dados,nan
  CARLA ALMEIDA  ,46.0,recife,20/11/2017,918.81,casado,cientista de dados,(11) 95506-3201
Heitor Oliveira,34.0,manaus,20/03/2022,3485.81,casado,cientista de dados,nan
Tania Oliveira,14.0,sao paulo,05/05/2017,4885.21,divorciado,estagiario,nan
Gabi Carvalho,33.0,fortaleza,09/12/2023,2163.85,divorciado,desenvolvedor,nan
Fabio Pereira,25.0,Belo Horizonte,10/09/2015,2099.75,solteiro,engenheiro de dados,nan
Nina Carvalho,41.0,rio de janeiro,14/10/2020,3882.84,divorciado,engenheiro de dados,nan
Rita Carvalho,45.0,sao paulo,04/01/2025,4747.54,divorciado,analista,nan
Marta Oliveira,41.0,Manaus,07/07/2022,1676.45,viuvo,engenheiro de dados,nan
Paula Santos,41.0,Belo Horizonte,08/09/2017,7436.38,solteiro,desenvolvedor,nan
Bruno Santos,25.0,manaus,04/04/2023,6722.55,viuvo,cientista de dados,nan
Nina Pereira,38.0,rio de janeiro,15/12/2022,3749.1,viuvo,analista,nan
Paula Silva,21.0,salvador,29/12/2022,2781.64,divorciado,gestor,nan
Bruno Souza,31.0,,28/09/2022,1825.73,divorciado,estagiario,nan
  LEO SOUZA  ,,fortaleza,19/07/2021,3715.08,divorciado,estagiario,nan
Yasmin Ferreira,38.0,fortaleza,05/06/2020,3285.46,solteiro,cientista de dados,nan
Diego Silva,24.0,Belo Horizonte,19/06/2025,2795.39,divorciado,desenvolvedor,nan
Ana Carvalho,33.0,rio de janeiro,25/07/2021,2563.66,casado,cientista de dados,nan
Diego Carvalho,19.0,rio de janeiro,05/03/2018,2645.51,casado,analista,nan
  ANA RODRIGUES  ,23.0,fortaleza,27/01/2025,3336.88,casado,gestor,nan
Heitor Oliveira,38.0,Curitiba,12/11/2015,3022.0,divorciado,desenvolvedor,nan
Carla Lima,48.0,manaus,19/08/2018,4728.66,viuvo,cientista de dados,nan
Rita Oliveira,28.0,salvador,15/01/2019,2701.58,casado,desenvolvedor,nan
  MARTA ALMEIDA  ,44.0,manaus,18/01/2023,1868.47,viuvo,estagiario,nan
  ZECA CARVALHO  ,46.0,salvador,01/11/2017,2250.97,divorciado,desenvolvedor,nan
Eva Oliveira,44.0,manaus,29/10/2027,2427.82,solteiro,cientista de dados,nan
Heitor Pereira,56.0,recife,22/07/2017,3963.85,divorciado,cientista de dados,nan
  OTAVIO OLIVEIRA  ,45.0,sao paulo,06/11/2016,3801.95,solteiro,engenheiro de dados,nan
Tania Pereira,51.0,Fortaleza,16/01/2015,4019.09,casado,gestor,nan
Gabi Carvalho,24.0,manaus,09/09/2024,3781.05,divorciado,engenheiro de dados,nan
Heitor Ferreira,37.0,salvador,06/05/2025,3123.19,viuvo,estagiario,nan
Gabi Almeida,32.0,salvador,11/08/2022,6005.33,,estagiario,nan
Saulo Carvalho,38.0,curitiba,19/11/2022,3014.66,solteiro,gestor,nan
Paula Souza,34.0,belo  horizonte,13/07/2025,1892.62,solteiro,cientista de dados,nan
Leo Almeida,42.0,fortaleza,03/02/2025,2781.39,solteiro,analista,nan
  DIEGO FERREIRA  ,49.0,curitiba,09/03/2024,2094.05,viuvo,desenvolvedor,nan
Iris Silva,,curitiba,29/11/2023,1553.81,solteiro,cientista de dados,nan
Carla Ferreira,51.0,salvador,13/09/2016,2044.3,solteiro,cientista de dados,nan
Tania Oliveira,40.0,manaus,30/11/2019,1704.03,casado,,nan
Heitor Carvalho,33.0,sao paulo,28/10/2021,2633.09,casado,estagiario,nan
  VERA PEREIRA  ,32.0,recife,24/12/2027,3704.93,divorciado,desenvolvedor,nan
  BRUNO SANTOS  ,57.0,manaus,06/04/2018,1487.94,solteiro,desenvolvedor,nan
Iris Rodrigues,43.0,sao paulo,08/10/2020,3395.97,divorciado,engenheiro de dados,nan
Otavio Oliveira,10.0,fortaleza,05/06/2024,4961.23,casado,desenvolvedor,nan
Vera Oliveira,26.0,Belo Horizonte,23/10/2018,1621.49,solteiro,engenheiro de dados,nan
Leo Carvalho,22.0,fortaleza,19/04/2025,1742.1,divorciado,estagiario,nan
Diego Ferreira,38.0,salvador,04/02/2023,3814.75,divorciado,analista,nan
Fabio Silva,28.0,rio de janeiro,02/02/2022,950.48,divorciado,cientista de dados,nan
Heitor Ferreira,35.0,sao paulo,06/12/2019,3600.3,viuvo,analista,nan
Heitor Ferreira,56.0,salvador,12/09/2022,2387.62,solteiro,estagiario,nan
